<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
R-Vision 2;60;20251105;130000;116.85;116.85;115.6;116.84;312;0
R-Vision 2;60;20251105;140000;116.84;116.85;116.84;116.85;48;0
R-Vision 2;60;20251105;150000;116.85;116.85;116.84;116.84;162;0
R-Vision 2;60;20251105;160000;116.84;116.85;115.69;116.46;174;0
R-Vision 2;60;20251105;170000;116.5;116.8;116.5;116.8;6;0
R-Vision 2;60;20251105;180000;116.7;116.7;115.83;116.69;10;0
R-Vision 2;60;20251105;190000;116.69;116.7;116.11;116.67;10;0
R-Vision 2;60;20251105;200000;116.13;116.66;116.13;116.66;6;0
R-Vision 2;60;20251105;210000;116.67;116.67;116.67;116.67;14;0
R-Vision 2;60;20251105;220000;116.66;116.66;116.66;116.66;16;0
R-Vision 2;60;20251105;230000;116.66;116.66;116.66;116.66;19;0
R-Vision 2;60;20251106;100000;116.8;116.8;116.66;116.8;8;0
R-Vision 2;60;20251106;110000;116.8;116.8;116.78;116.79;169;0
R-Vision 2;60;20251106;120000;116.79;116.79;116;116.76;104;0
R-Vision 2;60;20251106;130000;116.76;116.88;116.38;116.88;475;0
R-Vision 2;60;20251106;140000;116.87;116.87;116.8;116.87;223;0
R-Vision 2;60;20251106;150000;116.87;116.88;116.85;116.85;261;0
R-Vision 2;60;20251106;160000;116.83;116.84;116.15;116.35;150;0
R-Vision 2;60;20251106;170000;116.33;116.36;116.33;116.35;82;0
R-Vision 2;60;20251106;180000;116.66;116.66;116.66;116.66;1;0
R-Vision 2;60;20251106;190000;116.63;116.63;116.21;116.63;16;0
R-Vision 2;60;20251106;200000;116.63;116.63;116.63;116.63;8;0
R-Vision 2;60;20251106;210000;116.63;116.64;116.06;116.64;75;0
R-Vision 2;60;20251106;220000;116.64;116.64;116.64;116.64;2;0
R-Vision 2;60;20251106;230000;116.06;116.63;116.06;116.63;14;0
R-Vision 2;60;20251107;090000;116.86;116.86;116.86;116.86;2;0
R-Vision 2;60;20251107;100000;116.88;116.88;115.87;116.76;270;0
R-Vision 2;60;20251107;110000;116.18;116.69;116.18;116.67;14;0
R-Vision 2;60;20251107;120000;116.67;116.7;116.67;116.67;13;0
R-Vision 2;60;20251107;130000;116.61;116.62;116.59;116.6;4;0
R-Vision 2;60;20251107;140000;116.6;116.64;116.33;116.64;19;0
R-Vision 2;60;20251107;150000;116.29;116.67;116.29;116.67;2;0
R-Vision 2;60;20251107;160000;116.33;116.84;116.33;116.83;342;0
R-Vision 2;60;20251107;170000;116.83;116.84;116.42;116.5;46;0
R-Vision 2;60;20251107;180000;116.83;116.9;116.83;116.9;230;0
R-Vision 2;60;20251107;190000;116.9;117;116.9;116.9;83;0
R-Vision 2;60;20251107;200000;117;117;117;117;7;0
R-Vision 2;60;20251107;210000;117;117;117;117;1;0
R-Vision 2;60;20251107;220000;116.9;117;116.33;116.99;17;0
R-Vision 2;60;20251107;230000;116.99;117;116.34;116.34;105;0
R-Vision 2;60;20251110;100000;116.99;117;114.34;116.62;789;0
R-Vision 2;60;20251110;110000;115.51;116.34;114.59;115.93;528;0
R-Vision 2;60;20251110;120000;115.89;116;115.38;115.38;234;0
R-Vision 2;60;20251110;130000;115.41;115.99;115.41;115.96;74;0
R-Vision 2;60;20251110;140000;115.62;115.94;115.41;115.86;153;0
R-Vision 2;60;20251110;150000;115.75;115.88;115.7;115.87;71;0
R-Vision 2;60;20251110;160000;115.87;115.9;115.87;115.9;282;0
R-Vision 2;60;20251110;170000;115.9;116.53;115.9;116.47;61;0
R-Vision 2;60;20251110;180000;116.46;116.76;115.91;116.66;85;0
R-Vision 2;60;20251110;190000;116.66;116.71;115.48;115.48;102;0
R-Vision 2;60;20251110;200000;116.53;116.63;116.53;116.63;6;0
R-Vision 2;60;20251110;210000;116.56;116.56;116.56;116.56;24;0
R-Vision 2;60;20251110;220000;116.54;116.54;116.54;116.54;2;0
R-Vision 2;60;20251110;230000;116.54;116.54;115.96;115.96;12;0
R-Vision 2;60;20251111;100000;115.96;115.96;115.01;115.8;232;0
R-Vision 2;60;20251111;110000;115.95;116.27;115.72;115.72;50;0
R-Vision 2;60;20251111;120000;116.15;116.2;115.84;115.84;71;0
R-Vision 2;60;20251111;130000;115.8;116.21;115.24;115.24;20;0
R-Vision 2;60;20251111;140000;116.17;116.17;116.17;116.17;2;0
R-Vision 2;60;20251111;150000;116.21;116.22;116.21;116.22;9;0
R-Vision 2;60;20251111;160000;116.1;116.17;116.1;116.17;4;0
R-Vision 2;60;20251111;170000;116.22;116.23;116.22;116.23;17;0
R-Vision 2;60;20251111;180000;116.2;116.2;115.01;116.02;279;0
R-Vision 2;60;20251111;190000;115.83;115.83;115.67;115.68;7;0
R-Vision 2;60;20251111;200000;115.26;115.28;115.03;115.28;12;0
R-Vision 2;60;20251111;210000;115.28;115.28;115.28;115.28;5;0
R-Vision 2;60;20251111;220000;115.62;115.68;115.62;115.67;57;0
R-Vision 2;60;20251111;230000;115.66;115.75;115.66;115.75;198;0
R-Vision 2;60;20251112;090000;115.75;115.75;115.75;115.75;5;0
R-Vision 2;60;20251112;100000;115.75;115.75;115;115.6;112;0
R-Vision 2;60;20251112;110000;115.6;115.74;115.6;115.74;87;0
R-Vision 2;60;20251112;120000;115.74;115.75;115.73;115.75;74;0
R-Vision 2;60;20251112;130000;115.75;115.75;115.49;115.74;175;0
R-Vision 2;60;20251112;140000;115.51;115.75;115.5;115.75;74;0
R-Vision 2;60;20251112;150000;115.75;115.75;115.45;115.45;262;0
R-Vision 2;60;20251112;170000;115.66;115.66;115.66;115.66;1;0
R-Vision 2;60;20251112;180000;115.66;115.66;115.49;115.51;60;0
R-Vision 2;60;20251112;190000;115.71;115.71;115.71;115.71;1;0
R-Vision 2;60;20251112;200000;115.74;115.74;115.74;115.74;2;0
R-Vision 2;60;20251112;210000;115.74;115.74;115.74;115.74;11;0
R-Vision 2;60;20251112;220000;115.71;115.71;115.71;115.71;4;0
R-Vision 2;60;20251112;230000;115.71;115.75;115.7;115.75;34;0
R-Vision 2;60;20251113;090000;115.74;115.74;115.74;115.74;2;0
R-Vision 2;60;20251113;100000;115.74;115.84;115.74;115.8;95;0
R-Vision 2;60;20251113;110000;115.8;116.52;115.8;116.5;261;0
R-Vision 2;60;20251113;120000;116.17;116.17;115.86;115.86;32;0
R-Vision 2;60;20251113;130000;115.87;116.58;115.87;116.58;252;0
R-Vision 2;60;20251113;140000;116.57;117.5;116.17;117.24;447;0
R-Vision 2;60;20251113;150000;117.15;117.32;116.3;116.37;22;0
R-Vision 2;60;20251113;160000;116.64;117.02;116.64;117.02;32;0
R-Vision 2;60;20251113;170000;116.89;117;116.89;117;83;0
R-Vision 2;60;20251113;180000;117;117;117;117;26;0
R-Vision 2;60;20251113;200000;116.89;116.89;116.88;116.89;18;0
R-Vision 2;60;20251113;210000;116.88;116.89;116.24;116.34;53;0
R-Vision 2;60;20251113;220000;116.86;116.86;116.86;116.86;10;0
R-Vision 2;60;20251114;100000;117;117.29;115.92;116.06;222;0
R-Vision 2;60;20251114;110000;116.25;116.48;116.25;116.45;20;0
R-Vision 2;60;20251114;120000;116.47;116.66;115.92;116.49;114;0
R-Vision 2;60;20251114;130000;116.09;116.56;116.09;116.5;26;0
R-Vision 2;60;20251114;140000;116.5;116.51;116.4;116.51;24;0
R-Vision 2;60;20251114;150000;116.5;116.68;116.5;116.68;10;0
R-Vision 2;60;20251114;160000;116.52;116.62;116.52;116.62;10;0
R-Vision 2;60;20251114;170000;116.52;116.69;116.52;116.69;48;0
R-Vision 2;60;20251114;180000;116.69;116.69;116.45;116.45;10;0
R-Vision 2;60;20251114;190000;116.67;116.67;116.67;116.67;1;0
R-Vision 2;60;20251114;200000;116.6;116.6;116.6;116.6;5;0
R-Vision 2;60;20251114;210000;116.46;116.66;116.42;116.66;8;0
R-Vision 2;60;20251114;230000;116.66;116.66;116.66;116.66;1;0
R-Vision 2;60;20251117;090000;115.7;115.7;115.7;115.7;251;0
R-Vision 2;60;20251117;100000;116;116;115;115.01;1246;0
R-Vision 2;60;20251117;110000;115.04;115.04;114.3;114.67;651;0
R-Vision 2;60;20251117;120000;114.57;114.83;114.55;114.79;654;0
R-Vision 2;60;20251117;130000;114.56;114.78;114.56;114.73;320;0
R-Vision 2;60;20251117;140000;114.61;114.72;114.57;114.71;244;0
R-Vision 2;60;20251117;150000;114.6;114.7;114.35;114.35;925;0
R-Vision 2;60;20251117;160000;114.58;114.59;114.01;114.59;748;0
R-Vision 2;60;20251117;170000;114.58;114.59;114.54;114.59;315;0
R-Vision 2;60;20251117;180000;114.58;114.68;114.54;114.54;185;0
R-Vision 2;60;20251117;190000;114.54;114.68;114.54;114.67;178;0
R-Vision 2;60;20251117;200000;114.7;114.75;114.54;114.55;211;0
R-Vision 2;60;20251117;210000;114.55;114.77;114.55;114.77;23;0
R-Vision 2;60;20251117;220000;114.77;114.77;114.77;114.77;8;0
R-Vision 2;60;20251118;090000;114.77;114.77;114.77;114.77;1;0
R-Vision 2;60;20251118;100000;115;115.5;113.8;114.56;457;0
R-Vision 2;60;20251118;110000;114.5;115.22;114.48;115.02;383;0
R-Vision 2;60;20251118;120000;115.04;115.2;115;115.2;304;0
R-Vision 2;60;20251118;130000;115.21;115.35;115.2;115.35;419;0
R-Vision 2;60;20251118;140000;115.35;115.35;115.2;115.22;15;0
R-Vision 2;60;20251118;150000;115.24;115.24;115.22;115.22;6;0
R-Vision 2;60;20251118;160000;115.35;115.75;115.3;115.75;148;0
R-Vision 2;60;20251118;170000;115.75;116.19;115.72;115.72;799;0
R-Vision 2;60;20251118;180000;115.84;115.98;115;115.87;699;0
R-Vision 2;60;20251118;190000;115.9;115.9;115.9;115.9;2;0
R-Vision 2;60;20251118;200000;115.88;116.47;115.87;116.03;183;0
R-Vision 2;60;20251118;210000;116.12;116.47;115.69;115.69;48;0
R-Vision 2;60;20251118;220000;116.05;116.05;116.05;116.05;1;0
R-Vision 2;60;20251118;230000;115.7;116.12;115.7;115.77;4;0
R-Vision 2;60;20251119;100000;116.35;116.35;115.15;115.35;901;0
R-Vision 2;60;20251119;110000;115.36;115.53;115.01;115.01;236;0
R-Vision 2;60;20251119;120000;115.28;116;115.28;115.6;436;0
R-Vision 2;60;20251119;130000;115.53;115.53;115.5;115.5;356;0
R-Vision 2;60;20251119;140000;115.51;115.6;115.51;115.6;32;0
R-Vision 2;60;20251119;150000;115.6;115.88;115.6;115.88;12;0
R-Vision 2;60;20251119;160000;115.56;115.83;115.5;115.79;258;0
R-Vision 2;60;20251119;170000;115.76;115.78;115.5;115.52;429;0
R-Vision 2;60;20251119;180000;115.51;115.52;115.51;115.52;60;0
R-Vision 2;60;20251119;190000;115.51;115.51;115.5;115.51;36;0
R-Vision 2;60;20251119;200000;115.4;115.52;115.4;115.51;68;0
R-Vision 2;60;20251119;210000;115.52;115.53;115.52;115.53;94;0
R-Vision 2;60;20251119;220000;115.53;115.53;115.51;115.51;7;0
R-Vision 2;60;20251119;230000;115.53;115.53;115.53;115.53;4;0
R-Vision 2;60;20251120;100000;115.53;116.47;115.53;116.47;88;0
R-Vision 2;60;20251120;110000;116.2;116.46;115.8;115.8;96;0
R-Vision 2;60;20251120;120000;115.83;116.26;115.55;116.06;74;0
R-Vision 2;60;20251120;130000;116.07;116.07;115.35;115.35;379;0
R-Vision 2;60;20251120;140000;115.32;115.35;115.32;115.35;49;0
R-Vision 2;60;20251120;150000;115.32;115.35;115.2;115.2;94;0
R-Vision 2;60;20251120;160000;115.2;115.35;115.2;115.35;20;0
R-Vision 2;60;20251120;170000;115.34;115.34;115;115.27;259;0
R-Vision 2;60;20251120;180000;115.26;115.32;115.25;115.32;10;0
R-Vision 2;60;20251120;190000;115.31;115.32;115.2;115.31;63;0
R-Vision 2;60;20251120;200000;115.32;115.32;115.32;115.32;15;0
R-Vision 2;60;20251120;210000;115.32;115.32;115.31;115.31;32;0
R-Vision 2;60;20251120;220000;115.32;115.32;115.32;115.32;2;0
R-Vision 2;60;20251120;230000;115.31;115.32;115.31;115.32;16;0
R-Vision 2;60;20251121;100000;115.35;115.35;115.21;115.35;243;0
R-Vision 2;60;20251121;110000;115.35;115.35;115.33;115.33;34;0
R-Vision 2;60;20251121;120000;115.32;115.33;114.7;115.33;117;0
R-Vision 2;60;20251121;130000;115.08;115.33;115.05;115.05;464;0
R-Vision 2;60;20251121;140000;115.05;115.05;115;115.02;140;0
R-Vision 2;60;20251121;150000;115.02;116.16;115.02;115.79;247;0
R-Vision 2;60;20251121;160000;115.79;115.79;115.79;115.79;1;0
R-Vision 2;60;20251121;170000;115.79;115.79;115.43;115.43;16;0
R-Vision 2;60;20251121;180000;115.44;115.44;114.82;115.43;69;0
R-Vision 2;60;20251121;190000;115.33;115.43;114.86;114.86;30;0
R-Vision 2;60;20251121;200000;115.43;115.43;114.68;114.68;56;0
R-Vision 2;60;20251121;210000;114.92;115.41;114.9;115.41;6;0
R-Vision 2;60;20251121;220000;114.93;115.23;114.79;115.21;48;0
R-Vision 2;60;20251121;230000;115.4;115.4;115.4;115.4;9;0
R-Vision 2;60;20251124;090000;115.37;115.37;115.37;115.37;5;0
R-Vision 2;60;20251124;100000;115.36;115.37;113.53;113.94;1146;0
R-Vision 2;60;20251124;110000;113.52;114;112.76;113;1614;0
R-Vision 2;60;20251124;120000;112.91;113.5;112.85;113.37;418;0
R-Vision 2;60;20251124;130000;113.36;114;113.32;113.77;812;0
R-Vision 2;60;20251124;140000;113.77;113.78;113.38;113.78;161;0
R-Vision 2;60;20251124;150000;113.78;114.26;113.78;114.23;275;0
R-Vision 2;60;20251124;160000;113.98;114.3;113.58;113.58;310;0
R-Vision 2;60;20251124;170000;114.14;114.14;113.69;113.74;78;0
R-Vision 2;60;20251124;180000;113.85;113.85;113.7;113.85;139;0
R-Vision 2;60;20251124;190000;113.85;113.85;113.68;113.85;60;0
R-Vision 2;60;20251124;200000;113.85;114.17;113.52;114.16;427;0
R-Vision 2;60;20251124;210000;114.14;114.14;114.11;114.11;14;0
R-Vision 2;60;20251124;220000;113.83;113.83;113.83;113.83;1;0
R-Vision 2;60;20251124;230000;114.05;114.05;114.05;114.05;7;0
R-Vision 2;60;20251125;100000;114.68;114.68;113.41;114.04;32;0
R-Vision 2;60;20251125;110000;114.2;114.21;113.93;114.21;104;0
R-Vision 2;60;20251125;120000;114.24;114.24;113.9;113.9;618;0
R-Vision 2;60;20251125;130000;113.91;114.23;113.9;114.12;139;0
R-Vision 2;60;20251125;140000;114.22;114.46;114.16;114.46;244;0
R-Vision 2;60;20251125;150000;114.67;114.67;114.35;114.36;131;0
R-Vision 2;60;20251125;160000;114.38;114.47;114.35;114.47;38;0
R-Vision 2;60;20251125;170000;114.45;114.51;114.37;114.37;41;0
R-Vision 2;60;20251125;180000;114.37;114.38;114.35;114.38;56;0
R-Vision 2;60;20251125;190000;114.37;114.44;114.37;114.44;43;0
R-Vision 2;60;20251125;200000;114.38;114.38;114.2;114.2;175;0
R-Vision 2;60;20251125;210000;114.16;114.16;114.16;114.16;43;0
R-Vision 2;60;20251125;220000;114.16;114.16;114.16;114.16;1;0
R-Vision 2;60;20251126;100000;114.6;114.6;113.6;114;49;0
R-Vision 2;60;20251126;110000;114.12;114.15;113.64;113.64;88;0
R-Vision 2;60;20251126;120000;113.64;113.72;113.64;113.72;5;0
R-Vision 2;60;20251126;130000;114.09;114.09;114.09;114.09;23;0
R-Vision 2;60;20251126;140000;114.09;114.09;113.83;113.83;48;0
R-Vision 2;60;20251126;150000;113.93;114.07;113.93;114.07;15;0
R-Vision 2;60;20251126;160000;114.09;114.09;113.8;114.02;140;0
R-Vision 2;60;20251126;170000;113.97;113.98;113.8;113.97;143;0
R-Vision 2;60;20251126;180000;113.96;114.02;113.96;113.96;52;0
R-Vision 2;60;20251126;190000;113.96;114.07;113.96;114.07;56;0
R-Vision 2;60;20251126;200000;114.07;114.07;114.03;114.03;23;0
R-Vision 2;60;20251126;210000;114.03;114.09;114.03;114.09;114;0
R-Vision 2;60;20251126;220000;114.09;114.09;113.97;113.97;19;0
R-Vision 2;60;20251126;230000;114.09;114.09;114.09;114.09;5;0
R-Vision 2;60;20251127;100000;114.14;114.34;113.78;114.18;513;0
R-Vision 2;60;20251127;110000;114.15;114.67;114.05;114.36;855;0
R-Vision 2;60;20251127;120000;114.2;114.34;114.2;114.2;89;0
R-Vision 2;60;20251127;130000;114.34;114.59;114.2;114.59;113;0
R-Vision 2;60;20251127;140000;114.28;114.51;114.25;114.25;24;0
R-Vision 2;60;20251127;150000;114.25;114.25;113.9;114.23;316;0
R-Vision 2;60;20251127;160000;114.1;114.25;114.1;114.25;191;0
R-Vision 2;60;20251127;170000;114.25;114.25;114.2;114.2;81;0
R-Vision 2;60;20251127;180000;114.2;114.25;114.2;114.25;38;0
R-Vision 2;60;20251127;190000;114.24;114.24;113.95;113.95;16;0
R-Vision 2;60;20251127;200000;114.22;114.22;114.22;114.22;5;0
R-Vision 2;60;20251127;210000;113.97;114;113.97;114;11;0
R-Vision 2;60;20251127;220000;114.23;114.25;114.23;114.25;37;0
R-Vision 2;60;20251127;230000;114.25;114.25;114.25;114.25;3;0
R-Vision 2;60;20251128;100000;114.59;114.59;114.16;114.46;32;0
R-Vision 2;60;20251128;110000;114.44;114.45;113.95;114.23;52;0
R-Vision 2;60;20251128;120000;114.26;114.39;114.26;114.35;39;0
R-Vision 2;60;20251128;130000;114.36;114.38;114.35;114.38;104;0
R-Vision 2;60;20251128;140000;114.37;114.38;114.37;114.38;66;0
R-Vision 2;60;20251128;150000;114.38;114.44;114.31;114.44;117;0
R-Vision 2;60;20251128;160000;114.32;114.44;114.32;114.35;24;0
R-Vision 2;60;20251128;170000;114.35;114.56;114.34;114.56;120;0
R-Vision 2;60;20251128;180000;114.56;114.58;114.39;114.58;8;0
R-Vision 2;60;20251128;190000;114.41;114.61;114.4;114.61;48;0
R-Vision 2;60;20251128;200000;114.49;114.64;114.49;114.64;35;0
R-Vision 2;60;20251128;210000;114.64;114.64;114.64;114.64;23;0
R-Vision 2;60;20251128;220000;114.64;114.64;114.62;114.64;66;0
R-Vision 2;60;20251128;230000;114.5;114.5;114.39;114.39;200;0
R-Vision 2;60;20251201;090000;114.39;114.39;114.39;114.39;14;0
R-Vision 2;60;20251201;100000;114.38;114.38;113.49;113.5;542;0
R-Vision 2;60;20251201;110000;113.9;114.31;113.9;114.29;150;0
R-Vision 2;60;20251201;120000;114.26;114.3;114.08;114.3;83;0
R-Vision 2;60;20251201;130000;114.3;115.3;114.12;114.43;724;0
R-Vision 2;60;20251201;140000;114.41;114.49;113.97;114.24;125;0
R-Vision 2;60;20251201;150000;114.21;114.66;114.2;114.51;148;0
R-Vision 2;60;20251201;160000;114.48;115.12;114.1;115.05;468;0
R-Vision 2;60;20251201;170000;115.05;115.45;114.7;114.89;212;0
R-Vision 2;60;20251201;180000;115.39;115.39;114.05;114.2;778;0
R-Vision 2;60;20251201;190000;114.58;114.6;114.2;114.2;118;0
R-Vision 2;60;20251201;200000;114.53;114.57;114.21;114.56;45;0
R-Vision 2;60;20251201;210000;114.28;114.82;114.21;114.81;392;0
R-Vision 2;60;20251201;220000;114.74;115.12;114.63;115.12;70;0
R-Vision 2;60;20251201;230000;115.12;115.12;115.12;115.12;3;0
R-Vision 2;60;20251202;090000;114.93;114.93;114.93;114.93;14;0
R-Vision 2;60;20251202;100000;114.93;114.96;114.43;114.93;358;0
R-Vision 2;60;20251202;110000;114.94;117.5;114.93;117.5;1412;0
R-Vision 2;60;20251202;120000;117.39;117.39;115.5;115.5;152;0
R-Vision 2;60;20251202;130000;115.49;115.6;115.49;115.59;30;0
R-Vision 2;60;20251202;140000;115.59;115.69;115.59;115.64;118;0
R-Vision 2;60;20251202;150000;115.64;115.65;115.6;115.6;21;0
R-Vision 2;60;20251202;160000;115.6;115.64;115.56;115.64;43;0
R-Vision 2;60;20251202;170000;115.64;115.64;115.56;115.64;42;0
R-Vision 2;60;20251202;180000;115.64;115.64;115.64;115.64;24;0
R-Vision 2;60;20251202;190000;115.64;115.64;115.5;115.62;63;0
R-Vision 2;60;20251202;210000;115.62;115.65;115.6;115.65;238;0
R-Vision 2;60;20251202;230000;115.65;115.65;115.65;115.65;64;0
R-Vision 2;60;20251203;090000;115.65;115.65;115.65;115.65;2;0
R-Vision 2;60;20251203;100000;115.71;115.71;115.32;115.42;189;0
R-Vision 2;60;20251203;110000;115.42;115.7;115.19;115.53;346;0
R-Vision 2;60;20251203;120000;115.53;115.59;115.53;115.59;27;0
R-Vision 2;60;20251203;130000;115.6;115.69;115.6;115.69;35;0
R-Vision 2;60;20251203;140000;115.69;115.88;115.65;115.88;1193;0
R-Vision 2;60;20251203;150000;115.8;115.8;115.8;115.8;13;0
R-Vision 2;60;20251203;160000;115.71;115.71;115.03;115.46;232;0
R-Vision 2;60;20251203;170000;115.29;115.53;115.04;115.29;95;0
R-Vision 2;60;20251203;180000;115.28;115.29;115.28;115.29;53;0
R-Vision 2;60;20251203;190000;115.09;115.09;115.02;115.02;147;0
R-Vision 2;60;20251203;200000;115.02;115.25;115.01;115.25;63;0
R-Vision 2;60;20251203;210000;115.25;115.25;115;115;44;0
R-Vision 2;60;20251203;220000;115;115;115;115;93;0
R-Vision 2;60;20251203;230000;115;115;115;115;2;0
R-Vision 2;60;20251204;100000;116.89;116.98;115.7;116.17;178;0
R-Vision 2;60;20251204;110000;116.17;117.48;116.09;117.3;375;0
R-Vision 2;60;20251204;120000;116.28;117.3;115.9;116.3;164;0
R-Vision 2;60;20251204;130000;116.38;116.39;116.35;116.39;3;0
R-Vision 2;60;20251204;140000;116.37;116.46;115.96;116.43;157;0
R-Vision 2;60;20251204;150000;116.43;116.43;116.17;116.17;9;0
R-Vision 2;60;20251204;160000;116.41;116.41;116.18;116.2;10;0
R-Vision 2;60;20251204;170000;116.41;116.41;116.18;116.39;98;0
R-Vision 2;60;20251204;180000;116.38;116.42;116.38;116.38;5;0
R-Vision 2;60;20251204;190000;116.38;116.45;116.38;116.45;51;0
R-Vision 2;60;20251204;200000;116.38;116.44;116.17;116.17;143;0
R-Vision 2;60;20251204;210000;116.17;116.17;115.91;115.91;5;0
R-Vision 2;60;20251204;220000;116.18;116.42;116.18;116.42;10;0
R-Vision 2;60;20251205;100000;116.42;116.93;115.89;115.99;135;0
R-Vision 2;60;20251205;110000;116.28;116.28;115.7;115.87;81;0
R-Vision 2;60;20251205;120000;115.83;115.83;114.85;114.89;2925;0
R-Vision 2;60;20251205;130000;115;115;114.99;115;635;0
R-Vision 2;60;20251205;140000;114.95;115.9;114.95;115.4;98;0
R-Vision 2;60;20251205;150000;115.29;116.39;115.16;116.39;252;0
R-Vision 2;60;20251205;160000;115.53;116.09;115.27;116.01;115;0
R-Vision 2;60;20251205;170000;116.09;116.37;116.06;116.06;34;0
R-Vision 2;60;20251205;180000;116.01;116.01;115.4;115.4;126;0
R-Vision 2;60;20251205;190000;115.44;115.8;115.44;115.8;9;0
R-Vision 2;60;20251205;200000;115.88;115.88;115.88;115.88;10;0
R-Vision 2;60;20251205;210000;115.4;115.4;115.27;115.27;6;0
R-Vision 2;60;20251205;220000;115.27;115.95;115.27;115.95;194;0
R-Vision 2;60;20251205;230000;115.98;115.98;115.95;115.95;43;0
R-Vision 2;60;20251208;090000;116.45;116.45;116.45;116.45;23;0
R-Vision 2;60;20251208;100000;116.45;116.45;115.63;116;316;0
R-Vision 2;60;20251208;110000;116;116;115.84;115.84;61;0
R-Vision 2;60;20251208;120000;115.84;116;114.48;115.98;923;0
R-Vision 2;60;20251208;130000;115.61;116;115.61;115.69;152;0
R-Vision 2;60;20251208;140000;115.73;115.97;115.67;115.97;154;0
R-Vision 2;60;20251208;150000;115.95;115.98;115.69;115.98;82;0
R-Vision 2;60;20251208;160000;115.97;115.98;115.71;115.98;30;0
R-Vision 2;60;20251208;170000;115.97;115.98;115.72;115.75;39;0
R-Vision 2;60;20251208;180000;115.97;116;115.95;115.95;106;0
R-Vision 2;60;20251208;190000;115.95;115.95;115.95;115.95;12;0
R-Vision 2;60;20251208;200000;115.95;116;115.95;116;23;0
R-Vision 2;60;20251208;210000;115.74;115.99;115.74;115.99;70;0
R-Vision 2;60;20251208;220000;115.99;115.99;115.99;115.99;7;0
R-Vision 2;60;20251208;230000;115.99;116;115.99;116;23;0
R-Vision 2;60;20251209;100000;115.69;115.92;115.68;115.91;17;0
R-Vision 2;60;20251209;110000;115.88;115.95;115.23;115.23;284;0
R-Vision 2;60;20251209;120000;115.48;115.48;114.78;114.78;149;0
R-Vision 2;60;20251209;130000;114.76;114.76;113.5;113.7;693;0
R-Vision 2;60;20251209;140000;113.61;114.97;113.53;114.95;685;0
R-Vision 2;60;20251209;150000;114.94;114.94;112.35;112.39;798;0
R-Vision 2;60;20251209;160000;114.09;114.14;109.9;112.79;923;0
R-Vision 2;60;20251209;170000;112.79;113.89;109.9;113.53;924;0
R-Vision 2;60;20251209;180000;110.85;113.79;110.85;111.75;374;0
R-Vision 2;60;20251209;190000;111.7;111.75;111.1;111.74;161;0
R-Vision 2;60;20251209;200000;111.69;111.75;111.21;111.41;135;0
R-Vision 2;60;20251209;210000;111.45;112.44;111.4;112.43;71;0
R-Vision 2;60;20251209;220000;111.35;112.42;111.25;112;73;0
R-Vision 2;60;20251209;230000;112;112.43;112;112.43;97;0
